Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-12-24 09:30:00-05:00,687.969970703125,687.97998046875,687.969970703125,687.97998046875,967791,0.0,0.0,0.0
2025-12-24 09:31:00-05:00,687.989990234375,688.27001953125,687.8900146484375,688.27001953125,172380,0.0,0.0,0.0
2025-12-24 09:32:00-05:00,688.27001953125,688.3350219726562,688.1900024414062,688.239990234375,167054,0.0,0.0,0.0
2025-12-24 09:33:00-05:00,688.239990234375,688.3300170898438,688.1640625,688.2550048828125,144470,0.0,0.0,0.0
2025-12-24 09:34:00-05:00,688.25,688.280029296875,688.1099853515625,688.280029296875,145733,0.0,0.0,0.0
2025-12-24 09:35:00-05:00,688.280029296875,688.4400024414062,688.25,688.3200073242188,223271,0.0,0.0,0.0
2025-12-24 09:36:00-05:00,688.3099975585938,688.409912109375,688.2100219726562,688.3201293945312,120381,0.0,0.0,0.0
2025-12-24 09:37:00-05:00,688.3099975585938,688.3400268554688,688.1300048828125,688.1400146484375,86989,0.0,0.0,0.0
2025-12-24 09:38:00-05:00,688.1500244140625,688.1900024414062,688.0399780273438,688.1300048828125,135870,0.0,0.0,0.0
2025-12-24 09:39:00-05:00,688.1400146484375,688.219970703125,688.0399780273438,688.0800170898438,130889,0.0,0.0,0.0
2025-12-24 09:40:00-05:00,688.0700073242188,688.2100219726562,688.030029296875,688.1699829101562,177591,0.0,0.0,0.0
2025-12-24 09:41:00-05:00,688.1699829101562,688.4400024414062,688.1500244140625,688.4299926757812,119579,0.0,0.0,0.0
2025-12-24 09:42:00-05:00,688.4299926757812,688.5399780273438,688.2999877929688,688.510009765625,215638,0.0,0.0,0.0
2025-12-24 09:43:00-05:00,688.52001953125,688.6900024414062,688.3400268554688,688.3477783203125,158696,0.0,0.0,0.0
2025-12-24 09:44:00-05:00,688.3499755859375,688.375,688.27001953125,688.280029296875,87661,0.0,0.0,0.0
2025-12-24 09:45:00-05:00,688.2750244140625,688.5,688.2750244140625,688.4000244140625,129100,0.0,0.0,0.0
2025-12-24 09:46:00-05:00,688.4000244140625,688.4000244140625,688.260009765625,688.260009765625,119808,0.0,0.0,0.0
2025-12-24 09:47:00-05:00,688.260009765625,688.406494140625,688.219970703125,688.3699951171875,140358,0.0,0.0,0.0
2025-12-24 09:48:00-05:00,688.3800048828125,688.4199829101562,688.3206787109375,688.4199829101562,83617,0.0,0.0,0.0
2025-12-24 09:49:00-05:00,688.4199829101562,688.4199829101562,688.25,688.3699951171875,90955,0.0,0.0,0.0
2025-12-24 09:50:00-05:00,688.375,688.5700073242188,688.3599853515625,688.5549926757812,100787,0.0,0.0,0.0
2025-12-24 09:51:00-05:00,688.5650024414062,688.6649780273438,688.5499877929688,688.5880126953125,215691,0.0,0.0,0.0
2025-12-24 09:52:00-05:00,688.5900268554688,688.6400146484375,688.5,688.5050048828125,84961,0.0,0.0,0.0
2025-12-24 09:53:00-05:00,688.489990234375,688.7100219726562,688.47998046875,688.6950073242188,283811,0.0,0.0,0.0
2025-12-24 09:54:00-05:00,688.6900024414062,688.7100219726562,688.6300048828125,688.6849975585938,84381,0.0,0.0,0.0
2025-12-24 09:55:00-05:00,688.6799926757812,688.72998046875,688.6099853515625,688.6701049804688,96858,0.0,0.0,0.0
2025-12-24 09:56:00-05:00,688.6749877929688,688.719970703125,688.6300048828125,688.6500244140625,66977,0.0,0.0,0.0
2025-12-24 09:57:00-05:00,688.6599731445312,688.6749877929688,688.5349731445312,688.5399780273438,83146,0.0,0.0,0.0
2025-12-24 09:58:00-05:00,688.5499877929688,688.5800170898438,688.4600219726562,688.5,163018,0.0,0.0,0.0
2025-12-24 09:59:00-05:00,688.5,688.60498046875,688.4949951171875,688.5999755859375,41197,0.0,0.0,0.0
2025-12-24 10:00:00-05:00,688.5900268554688,688.6900024414062,688.510009765625,688.5800170898438,94514,0.0,0.0,0.0
2025-12-24 10:01:00-05:00,688.5700073242188,688.6649780273438,688.5499877929688,688.635009765625,81060,0.0,0.0,0.0
2025-12-24 10:02:00-05:00,688.635009765625,688.6799926757812,688.5999755859375,688.6199951171875,98790,0.0,0.0,0.0
2025-12-24 10:03:00-05:00,688.6199951171875,688.7150268554688,688.5800170898438,688.655029296875,86323,0.0,0.0,0.0
2025-12-24 10:04:00-05:00,688.6500244140625,688.7100219726562,688.6400146484375,688.6699829101562,63208,0.0,0.0,0.0
2025-12-24 10:05:00-05:00,688.6799926757812,688.7650146484375,688.6500244140625,688.7150268554688,95889,0.0,0.0,0.0
2025-12-24 10:06:00-05:00,688.719970703125,688.739990234375,688.64501953125,688.6950073242188,124393,0.0,0.0,0.0
2025-12-24 10:07:00-05:00,688.7000122070312,688.7849731445312,688.6699829101562,688.7498779296875,86103,0.0,0.0,0.0
2025-12-24 10:08:00-05:00,688.75,688.8699951171875,688.7449951171875,688.8499755859375,180669,0.0,0.0,0.0
2025-12-24 10:09:00-05:00,688.85498046875,688.9099731445312,688.8300170898438,688.8599853515625,107578,0.0,0.0,0.0
2025-12-24 10:10:00-05:00,688.864990234375,689.0,688.8350219726562,688.9600219726562,393323,0.0,0.0,0.0
2025-12-24 10:11:00-05:00,688.9644165039062,689.0,688.8800048828125,688.9149780273438,224892,0.0,0.0,0.0
2025-12-24 10:12:00-05:00,688.9149780273438,689.0,688.8800048828125,689.0,142415,0.0,0.0,0.0
2025-12-24 10:13:00-05:00,689.0,689.0700073242188,688.989990234375,689.0598754882812,113085,0.0,0.0,0.0
